rent,location,bedroom,bathroom,toilet,parking
4500000, Conservation Road Lekki Lagos,4,4,5,3
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3,3,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
900000, Bakare Estate Agungi Lekki Lagos,1,1,1,NaN
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3,3,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
16100000, Victoria Island (VI) Lagos,3,3,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
900000, Bakare Estate Agungi Lekki Lagos,1,1,1,NaN
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
12000000, Off Bourdillon Road Old Ikoyi Ikoyi Lagos,4,4,5,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
4000000, Osapa London Lekki Lagos,3,4,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
4000000, Osapa London Lekki Lagos,3,4,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
4000000, Osapa London Lekki Lagos,3,4,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
1200, Ikotun Lagos,NaN,NaN,NaN,NaN
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
4000000, Osapa London Lekki Lagos,3,4,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
12000000, Off Bourdillon Road Old Ikoyi Ikoyi Lagos,4,4,5,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
4500000, Conservation Road Lekki Lagos,4,4,5,3
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
16100000, Victoria Island (VI) Lagos,3,3,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
1200, Ikotun Lagos,NaN,NaN,NaN,NaN
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
16100000, Victoria Island (VI) Lagos,3,3,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3,3,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
10500000, Off Bishop Oluwole Victoria Island (VI) Lagos,3,3,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
4000000, Osapa London Lekki Lagos,3,4,4,2
5500000, Osapa London Osapa Lekki Lagos,4,4,5,3
5500000, Bogije Bogije Ibeju Lekki Lagos,3,3,4,NaN
5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4,4,5,NaN
5500000, Eleko Eleko Ibeju Lekki Lagos,4,4,5,NaN
5500000, Banana Island Ikoyi Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,NaN,NaN,NaN,NaN
5500000, Lekki Phase 1 Lekki Lagos,4,5,5,NaN
1500000, Agungi Lekki Lagos,1,1,2,12
60000000, Lekki Lagos Lekki Lagos,15,15,20,20
1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2,2,3,NaN
13000000, In A Well Secured Mini Court Ikoyi Lagos,4,5,5,3
4000000, Osapa London Lekki Lagos,3,4,4,2
900000, Off Pedro Road Pedro Gbagada Lagos,2,2,3,1
4500000, Ikate Lekki Lagos,4,4,5,2
800000, Kilo Surulere Lagos,2,2,2,NaN
300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1,1,1,2
1200000, Near Airportajao Estate Isolo Lagos,4,4,5,2
600000, Opp Harmony Estate Ado Ajah Lagos,2,2,2,NaN
15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3,3,4,2
6000000, Mende Maryland Lagos,5,5,6,NaN
